Job_Type,Quantity,Color_Type (BW / Full Color),Material_Type,Requested_Deadline_Date,Order_Request_Date,Current_Queued_Jobs_Count,Active_Machines_Count,Total_Machines_Count,Available_Staff_Count,Total_Staff_Count,Delay_Risk_Level
Business Cards,,BW,Glossy Paper,2022-03-27,2022-03-20,145,5,6,10,11,Medium
Brochures,933,BW,Glossy Paper,2023-01-25,2023-01-24,91,5,6,10,11,Medium
Flyers,,Full Color,Glossy Paper,2025-03-03,2025-02-26,,4,5,10,12,Low
Brochures,439,Full Color,Vinyl,2025-11-18,2025-11-15,114,3,5,8,10,Low
Business Cards,381,Full Color,Canvas,2019-01-01,2018-12-28,166,3,4,10,12,Medium
Banners,298,BW,,2019-05-06,2019-05-03,113,5,6,8,9,Low
Stickers,653,BW,Matte Paper,2015-03-22,2015-03-19,71,5,7,8,10,Medium
Banners,,BW,Matte Paper,2018-08-07,2018-08-01,18,5,6,10,12,Low
Brochures,864,Full Color,Matte Paper,2016-07-10,2016-07-06,104,5,7,10,11,
Stickers,808,BW,Glossy Paper,2015-10-15,2015-10-09,56,5,7,8,10,Medium
Flyers,55,BW,Glossy Paper,2018-07-07,2018-07-05,15,4,6,10,11,Medium
Business Cards,610,BW,Glossy Paper,2018-10-22,2018-10-15,123,3,5,10,12,Medium
Stickers,795,Full Color,Matte Paper,2018-03-09,2018-03-03,179,4,6,8,9,Low
Stickers,927,Full Color,Canvas,2025-03-02,2025-02-28,86,7,8,10,12,Medium
Business Cards,,Full Color,Matte Paper,2020-11-18,2020-11-12,83,6,7,9,10,High
Brochures,,Full Color,Canvas,2022-08-09,2022-08-08,150,4,6,11,12,Medium
,,Full Color,Canvas,2016-04-29,2016-04-24,56,5,6,9,11,Low
,811,BW,Glossy Paper,2024-01-30,2024-01-26,122,6,7,10,11,Medium
Stickers,648,Full Color,Canvas,2023-10-29,2023-10-24,48,5,7,11,13,Medium
Posters,,Full Color,Matte Paper,2025-06-24,2025-06-20,42,3,5,11,13,High
Business Cards,,Full Color,Cardboard,2020-11-13,2020-11-12,143,3,4,11,13,Medium
Posters,220,BW,Vinyl,2021-06-01,2021-05-29,,5,6,9,11,Medium
Business Cards,446,BW,,2018-07-20,2018-07-19,94,7,9,8,9,Low
Stickers,,Full Color,Matte Paper,2018-04-05,2018-04-04,113,5,6,10,11,Low
Flyers,,Full Color,Cardboard,2017-02-03,2017-01-31,39,3,5,10,12,High
Business Cards,736,Full Color,Matte Paper,2016-10-22,2016-10-15,,4,6,11,12,Low
Business Cards,,Full Color,Cardboard,2023-04-27,2023-04-21,31,6,8,9,10,Low
Brochures,630,Full Color,Canvas,2022-05-16,2022-05-09,108,6,7,10,12,Medium
Business Cards,946,Full Color,,2021-12-17,2021-12-13,114,5,7,10,11,High
,,Full Color,Canvas,2023-10-22,2023-10-18,82,5,7,11,12,High
Flyers,872,Full Color,Glossy Paper,2018-02-04,2018-01-31,,3,5,9,11,Low
Banners,,BW,,2020-04-11,2020-04-09,154,6,8,11,12,High
Banners,250,BW,Canvas,2021-06-06,2021-05-30,161,6,8,10,11,High
Business Cards,498,Full Color,Vinyl,2018-07-03,2018-07-01,168,4,5,11,13,High
Stickers,118,Full Color,Cardboard,2015-02-13,2015-02-09,74,5,6,10,12,Low
Posters,,Full Color,Canvas,2016-06-08,2016-06-03,151,4,5,11,12,High
Banners,58,Full Color,Vinyl,2022-02-07,2022-02-06,103,3,5,8,10,Low
Business Cards,173,,Vinyl,2016-04-11,2016-04-07,,4,5,11,13,Low
,645,Full Color,,2025-05-03,2025-04-29,160,4,6,10,11,Medium
Business Cards,72,Full Color,Glossy Paper,2016-04-28,2016-04-27,2,4,5,10,12,Medium
,482,Full Color,Cardboard,2023-06-27,2023-06-21,145,5,6,8,9,Low
Business Cards,263,Full Color,Glossy Paper,2023-07-16,2023-07-09,47,5,7,10,11,Medium
Business Cards,,Full Color,Matte Paper,2019-01-07,2019-01-02,55,5,6,8,9,High
Flyers,,Full Color,Canvas,2019-06-13,2019-06-10,69,4,5,9,11,Medium
Business Cards,,Full Color,Matte Paper,2021-07-31,2021-07-26,,3,4,8,10,Low
Stickers,847,BW,Vinyl,2024-11-25,2024-11-20,109,5,7,8,10,
Banners,69,Full Color,Canvas,2020-11-03,2020-11-01,139,4,5,10,11,High
Business Cards,,Full Color,,2024-09-06,2024-09-05,74,4,6,9,11,Low
Banners,,Full Color,Vinyl,2022-12-24,2022-12-18,20,6,8,8,10,High
Flyers,691,BW,Glossy Paper,2024-03-12,2024-03-05,145,5,7,9,10,
Brochures,,Full Color,Glossy Paper,2024-02-19,2024-02-17,178,6,7,10,11,Medium
Business Cards,,Full Color,Vinyl,2021-06-04,2021-05-29,58,5,6,10,11,High
Flyers,329,Full Color,Cardboard,2019-05-28,2019-05-23,22,3,5,9,11,Low
Posters,,Full Color,Glossy Paper,2018-04-10,2018-04-08,154,5,7,10,12,High
Posters,,Full Color,Matte Paper,2016-10-12,2016-10-06,60,4,5,10,12,
Business Cards,627,Full Color,Canvas,2023-05-10,2023-05-08,99,5,6,11,13,Low
Stickers,,BW,Canvas,2021-12-31,2021-12-24,151,3,4,8,10,High
Flyers,,Full Color,Canvas,2024-11-11,2024-11-07,118,6,7,11,13,Medium
Flyers,95,Full Color,Glossy Paper,2024-06-19,2024-06-12,192,3,5,9,10,Medium
Brochures,307,Full Color,Matte Paper,2019-07-02,2019-07-01,153,6,7,10,12,Low
Business Cards,302,Full Color,Canvas,2026-01-05,2026-01-03,104,6,8,10,12,
Flyers,,BW,Canvas,2016-08-24,2016-08-23,,5,7,9,10,Medium
Stickers,320,Full Color,Matte Paper,2020-12-05,2020-11-30,145,5,6,10,11,Medium
Flyers,,Full Color,Vinyl,2023-10-19,2023-10-14,166,5,6,11,13,High
Business Cards,378,BW,Canvas,2024-10-14,2024-10-07,108,6,7,10,12,Medium
Stickers,,,Canvas,2021-01-12,2021-01-06,51,5,6,10,12,Medium
Brochures,,Full Color,Canvas,2021-07-21,2021-07-18,180,6,7,8,9,Low
Business Cards,962,BW,Cardboard,2016-08-03,2016-08-02,166,5,6,11,13,Medium
Brochures,807,Full Color,Cardboard,2017-02-26,2017-02-21,7,6,7,11,12,Medium
Stickers,,BW,Vinyl,2022-11-10,2022-11-09,,5,7,9,11,High
Flyers,,Full Color,Canvas,2025-10-13,2025-10-07,133,5,7,11,12,Low
Stickers,266,Full Color,Vinyl,2024-03-18,2024-03-14,89,6,7,9,11,Low
Posters,149,Full Color,Canvas,2021-12-15,2021-12-14,106,6,8,10,11,Low
Brochures,131,Full Color,Canvas,2021-04-22,2021-04-18,6,5,7,10,11,Medium
Posters,,Full Color,Vinyl,2018-01-11,2018-01-05,179,4,5,10,11,Medium
Stickers,,Full Color,Glossy Paper,2018-11-23,2018-11-16,189,5,7,8,9,Medium
,,Full Color,Cardboard,2021-02-02,2021-01-29,29,7,8,12,14,Medium
Flyers,,Full Color,Cardboard,2021-03-01,2021-02-26,159,6,7,11,12,Low
Stickers,,Full Color,Cardboard,2016-01-12,2016-01-11,48,6,8,11,13,
Stickers,412,Full Color,Canvas,2015-01-13,2015-01-11,75,3,4,9,11,Low
Brochures,,Full Color,,2025-07-13,2025-07-06,,5,6,9,10,Medium
Stickers,261,Full Color,Matte Paper,2023-01-22,2023-01-18,135,5,6,10,11,Medium
Posters,,Full Color,Canvas,2019-06-09,2019-06-02,37,6,8,11,12,Medium
Banners,,Full Color,Cardboard,2025-04-16,2025-04-13,63,3,5,11,12,Low
Stickers,,Full Color,Canvas,2024-06-08,2024-06-06,39,6,7,9,11,Low
Business Cards,,Full Color,Cardboard,2023-02-27,2023-02-26,162,5,6,10,11,Medium
,,Full Color,Glossy Paper,2025-12-11,2025-12-10,140,4,6,10,11,Low
Business Cards,,Full Color,Matte Paper,2019-05-22,2019-05-19,86,4,6,9,10,
,,Full Color,Cardboard,2018-03-06,2018-03-01,98,4,5,10,12,Medium
Business Cards,,Full Color,Vinyl,2020-05-08,2020-05-01,39,5,7,9,10,High
Flyers,,BW,Matte Paper,2022-12-08,2022-12-01,23,3,4,10,11,High
Brochures,,BW,Cardboard,2020-02-25,2020-02-20,89,4,6,11,12,Low
Banners,,BW,Matte Paper,2017-02-28,2017-02-23,40,6,8,11,12,Low
Brochures,,Full Color,Canvas,2023-12-01,2023-11-26,,3,5,10,12,High
Posters,,Full Color,Vinyl,2019-02-14,2019-02-12,44,4,6,9,10,Medium
Flyers,,BW,Cardboard,2020-07-31,2020-07-26,36,5,6,10,12,Medium
Brochures,,BW,Matte Paper,2016-04-11,2016-04-04,,5,6,11,12,Low
Stickers,,BW,Cardboard,2021-08-18,2021-08-13,119,6,8,10,12,Low
Brochures,,Full Color,Glossy Paper,2022-07-30,2022-07-29,139,5,6,10,11,High
Business Cards,,Full Color,Cardboard,2025-01-03,2025-01-01,97,6,7,11,12,High
Business Cards,,Full Color,Canvas,2021-12-19,2021-12-18,106,5,7,11,12,Medium
Flyers,,BW,Canvas,2016-05-20,2016-05-19,164,3,5,11,12,Medium
Flyers,,BW,Vinyl,2023-04-09,2023-04-05,140,4,5,11,13,Medium
Posters,,Full Color,Glossy Paper,2017-12-31,2017-12-28,50,5,7,9,11,Low
Posters,,,Cardboard,2021-01-24,2021-01-17,,4,5,11,12,Medium
Business Cards,77,Full Color,Vinyl,2025-11-09,2025-11-03,124,5,7,10,11,Low
Flyers,685,Full Color,Glossy Paper,2023-10-28,2023-10-22,111,5,6,8,10,High
Business Cards,636,Full Color,Canvas,2025-01-15,2025-01-14,171,4,6,10,12,High
Business Cards,,Full Color,,2018-11-10,2018-11-09,115,4,6,10,11,High
Stickers,,Full Color,Canvas,2020-05-05,2020-04-30,143,4,5,9,11,High
Business Cards,942,BW,Glossy Paper,2022-07-15,2022-07-09,,5,7,12,14,High
Flyers,,BW,Vinyl,2017-05-20,2017-05-14,84,5,6,8,9,Medium
Flyers,,,Vinyl,2015-04-26,2015-04-20,106,5,6,11,13,Low
,340,BW,Glossy Paper,2021-09-23,2021-09-20,69,4,6,9,11,Medium
Flyers,529,Full Color,Canvas,2020-10-01,2020-09-29,13,5,7,9,10,Medium
Stickers,,BW,Matte Paper,2024-12-16,2024-12-13,117,6,8,10,11,High
Banners,167,Full Color,,2018-01-19,2018-01-15,20,4,6,10,12,High
Business Cards,,Full Color,Canvas,2016-08-22,2016-08-18,192,5,6,9,10,High
Business Cards,,Full Color,Cardboard,2023-07-14,2023-07-11,78,7,8,12,13,Medium
,,Full Color,Matte Paper,2015-03-01,2015-02-26,47,4,6,10,12,Medium
Flyers,989,BW,Glossy Paper,2021-02-23,2021-02-21,175,5,6,11,12,Medium
Stickers,411,BW,Matte Paper,2023-08-06,2023-07-31,146,3,5,8,9,High
,,BW,Cardboard,2015-04-29,2015-04-22,51,5,6,10,12,Medium
Business Cards,,Full Color,Glossy Paper,2016-12-16,2016-12-11,87,3,5,11,12,Low
,342,BW,Glossy Paper,2017-08-07,2017-08-05,189,7,9,9,10,High
Flyers,409,Full Color,Vinyl,2021-09-25,2021-09-23,196,5,6,8,9,Medium
,673,Full Color,Matte Paper,2022-01-28,2022-01-22,174,6,8,10,11,
Flyers,,BW,Canvas,2024-04-12,2024-04-11,145,5,6,11,12,High
Brochures,446,BW,,2023-09-17,2023-09-13,149,5,7,10,12,
Banners,108,Full Color,Canvas,2020-01-21,2020-01-16,,5,6,10,11,Medium
Flyers,666,BW,Glossy Paper,2018-01-15,2018-01-09,,6,7,10,11,Medium
Stickers,,Full Color,,2017-07-03,2017-06-27,14,7,8,11,13,
Business Cards,,BW,Cardboard,2016-06-09,2016-06-05,148,5,6,8,10,Medium
Posters,,BW,Canvas,2019-10-27,2019-10-26,67,6,8,9,11,
Brochures,642,Full Color,Canvas,2021-05-06,2021-04-30,75,5,7,8,9,High
Banners,180,Full Color,Vinyl,2017-03-05,2017-02-28,122,5,7,8,10,High
Flyers,786,Full Color,Vinyl,2019-09-28,2019-09-26,49,5,6,9,10,Medium
Business Cards,,Full Color,Vinyl,2015-09-26,2015-09-22,,4,6,9,11,High
Banners,282,Full Color,Canvas,2025-09-01,2025-08-29,15,3,5,10,12,High
Flyers,271,Full Color,,2019-02-03,2019-02-01,38,4,6,9,10,Medium
,985,BW,Vinyl,2016-04-26,2016-04-20,51,5,7,10,11,Medium
Flyers,414,BW,Vinyl,2017-11-19,2017-11-15,13,4,5,11,13,High
,,Full Color,Matte Paper,2021-05-02,2021-04-30,163,5,7,9,10,Medium
Flyers,785,BW,Vinyl,2017-03-28,2017-03-26,44,7,9,9,11,Medium
Posters,,,Glossy Paper,2023-01-08,2023-01-01,33,4,5,9,10,Medium
Stickers,565,Full Color,Matte Paper,2016-07-21,2016-07-19,195,5,7,10,12,High
,,BW,Cardboard,2023-11-20,2023-11-14,177,3,4,10,11,
Business Cards,,BW,Canvas,2022-06-02,2022-05-26,104,3,5,11,13,High
Stickers,,BW,Canvas,2022-09-06,2022-09-05,46,6,7,10,11,Medium
Banners,229,Full Color,Matte Paper,2025-10-12,2025-10-10,28,5,6,11,13,Low
,638,BW,Cardboard,2018-12-07,2018-12-01,,6,8,11,12,
Stickers,,BW,Glossy Paper,2017-12-11,2017-12-05,155,3,5,9,10,Medium
Stickers,,BW,,2019-06-30,2019-06-23,138,5,7,9,10,Medium
Stickers,,BW,Cardboard,2020-04-25,2020-04-18,49,4,6,10,11,High
Flyers,,Full Color,Glossy Paper,2023-04-25,2023-04-20,178,4,6,12,13,Medium
Business Cards,142,Full Color,Matte Paper,2021-12-05,2021-11-28,24,3,5,9,11,High
Flyers,,Full Color,Cardboard,2025-09-21,2025-09-14,55,3,4,9,11,Medium
Flyers,,Full Color,Matte Paper,2019-03-08,2019-03-06,25,4,5,11,12,Medium
Flyers,,Full Color,Glossy Paper,2016-09-16,2016-09-11,23,3,4,9,10,Medium
Stickers,776,Full Color,Matte Paper,2023-06-01,2023-05-25,20,7,8,10,12,Low
Brochures,,Full Color,Cardboard,2016-03-23,2016-03-22,,4,6,8,10,Low
Banners,,Full Color,Glossy Paper,2015-07-30,2015-07-28,189,3,4,8,9,Low
Brochures,,,Glossy Paper,2021-09-29,2021-09-26,77,4,5,10,12,High
,,Full Color,Vinyl,2018-12-26,2018-12-21,78,5,6,10,12,Medium
Brochures,927,Full Color,Glossy Paper,2024-06-10,2024-06-04,67,3,5,8,9,Medium
Brochures,181,BW,Matte Paper,2021-06-02,2021-05-26,187,6,8,11,13,Medium
Flyers,,BW,Vinyl,2021-01-11,2021-01-07,184,7,9,8,9,Low
Posters,,Full Color,,2018-07-09,2018-07-02,40,4,5,10,12,Medium
Posters,115,Full Color,Canvas,2018-11-02,2018-11-01,171,5,7,9,11,High
Posters,284,Full Color,Matte Paper,2017-05-09,2017-05-04,,3,4,11,12,Low
Brochures,811,BW,Matte Paper,2022-04-15,2022-04-09,130,5,6,11,12,Medium
Business Cards,79,Full Color,Cardboard,2021-08-19,2021-08-14,16,5,6,8,9,Medium
,358,,,2016-12-08,2016-12-05,112,4,6,9,10,Medium
Posters,186,BW,Matte Paper,2017-04-12,2017-04-05,197,4,6,11,13,Low
Business Cards,,BW,Cardboard,2024-06-27,2024-06-22,,5,7,10,12,Low
Flyers,,BW,Cardboard,2017-08-31,2017-08-30,56,5,6,10,11,Medium
Business Cards,,BW,Cardboard,2023-06-10,2023-06-04,149,4,6,9,11,Low
Posters,,BW,Cardboard,2024-05-20,2024-05-16,2,5,7,12,13,High
Flyers,179,Full Color,Matte Paper,2024-11-16,2024-11-13,173,5,7,11,13,Medium
,,BW,Glossy Paper,2022-06-02,2022-05-29,178,6,7,8,10,Low
Stickers,,Full Color,Vinyl,2022-11-14,2022-11-09,,3,4,10,11,Medium
Flyers,806,BW,,2022-06-06,2022-06-04,56,6,7,11,13,Medium
Posters,,BW,Cardboard,2019-02-08,2019-02-01,,5,6,10,11,High
Flyers,455,BW,Glossy Paper,2019-07-11,2019-07-10,105,3,5,10,11,Low
Brochures,396,Full Color,Vinyl,2023-07-30,2023-07-26,126,5,7,9,10,Medium
Banners,,Full Color,Vinyl,2020-04-06,2020-04-03,49,5,6,8,9,Low
Brochures,497,Full Color,Cardboard,2018-03-26,2018-03-19,,6,8,11,12,Medium
Flyers,,Full Color,Matte Paper,2018-04-04,2018-03-31,44,3,4,10,12,Medium
Stickers,,Full Color,Cardboard,2020-05-07,2020-05-01,134,5,7,10,11,Low
Brochures,253,,Glossy Paper,2020-11-23,2020-11-16,,4,6,9,11,High
Posters,,BW,Cardboard,2025-08-24,2025-08-17,,7,9,11,13,Medium
Brochures,429,Full Color,Cardboard,2025-09-21,2025-09-14,172,4,5,11,12,High
Business Cards,,Full Color,Glossy Paper,2022-06-06,2022-06-04,132,7,9,10,12,Medium
Stickers,485,BW,Cardboard,2021-08-10,2021-08-09,20,6,8,11,13,High
Flyers,,Full Color,Canvas,2018-09-12,2018-09-11,169,4,6,8,10,Medium
Brochures,,Full Color,Vinyl,2019-07-20,2019-07-15,158,6,8,11,12,Low
Brochures,761,Full Color,Vinyl,2022-11-20,2022-11-15,34,7,8,10,12,Low
Flyers,,Full Color,Glossy Paper,2021-10-24,2021-10-17,52,4,5,9,11,High
Posters,,BW,Matte Paper,2024-02-27,2024-02-22,45,5,6,8,10,Low
Banners,116,BW,Vinyl,2023-03-17,2023-03-10,13,5,7,9,10,Medium
Brochures,390,,Matte Paper,2016-09-18,2016-09-15,,4,6,11,13,
Banners,151,Full Color,Matte Paper,2025-12-09,2025-12-08,142,3,5,11,13,Medium
Business Cards,434,Full Color,Canvas,2015-11-02,2015-10-27,164,4,5,10,11,Low
Banners,58,Full Color,Canvas,2023-03-25,2023-03-22,156,4,5,8,10,Low
Posters,,,Canvas,2025-02-15,2025-02-08,194,5,7,12,14,Medium
Posters,,Full Color,Vinyl,2025-07-15,2025-07-08,172,4,5,9,11,Medium
Brochures,,Full Color,,2019-10-29,2019-10-24,63,6,7,10,11,High
Posters,,BW,Glossy Paper,2018-10-30,2018-10-24,124,5,7,11,12,Medium
Posters,,BW,Cardboard,2020-05-25,2020-05-18,10,3,4,8,10,High
Stickers,625,Full Color,Vinyl,2023-11-13,2023-11-12,42,5,7,10,12,Medium
Posters,,BW,Canvas,2024-02-26,2024-02-21,110,5,6,8,10,High
Business Cards,186,Full Color,,2018-10-25,2018-10-23,110,7,8,8,9,Low
Business Cards,,Full Color,Canvas,2017-05-10,2017-05-07,4,3,4,10,12,Low
Posters,,BW,Canvas,2025-12-08,2025-12-01,171,4,5,9,10,Medium
Flyers,853,Full Color,Canvas,2023-06-17,2023-06-16,36,6,8,10,11,Medium
Business Cards,,BW,Vinyl,2015-05-17,2015-05-13,146,6,8,9,11,Medium
Banners,,BW,Glossy Paper,2023-02-18,2023-02-14,178,5,6,10,12,Medium
Brochures,,BW,Canvas,2021-06-19,2021-06-13,143,6,8,8,10,Low
Brochures,,Full Color,Glossy Paper,2018-04-14,2018-04-12,191,3,4,11,12,Low
Stickers,316,BW,Cardboard,2015-04-11,2015-04-07,48,5,7,8,10,Medium
Banners,,BW,Glossy Paper,2018-03-26,2018-03-23,120,4,5,11,12,Medium
Flyers,70,,Cardboard,2018-06-26,2018-06-19,136,4,6,10,12,Low
Brochures,196,BW,Canvas,2017-11-21,2017-11-16,81,6,7,10,12,
Business Cards,,Full Color,,2018-10-17,2018-10-15,158,3,4,11,13,Medium
,,Full Color,Glossy Paper,2021-03-03,2021-02-27,167,5,7,9,11,Low
Stickers,,Full Color,Matte Paper,2023-01-02,2022-12-31,121,6,7,9,11,Medium
Stickers,,Full Color,Glossy Paper,2021-08-19,2021-08-14,61,4,5,8,9,Low
Stickers,879,Full Color,,2018-03-26,2018-03-21,109,7,8,9,11,Medium
Flyers,,Full Color,Vinyl,2017-06-23,2017-06-17,67,7,8,12,13,High
Stickers,709,Full Color,Vinyl,2019-01-16,2019-01-09,98,5,7,9,11,Medium
,,BW,Cardboard,2018-06-07,2018-06-06,190,4,6,11,13,Medium
Business Cards,404,Full Color,Matte Paper,2017-02-13,2017-02-08,73,4,5,10,12,Medium
Stickers,658,Full Color,Canvas,2023-05-07,2023-05-05,93,5,6,8,10,
Brochures,788,BW,Canvas,2023-03-06,2023-03-05,172,4,6,11,13,Medium
Stickers,,Full Color,Matte Paper,2021-01-22,2021-01-18,80,4,6,12,13,Medium
Stickers,,Full Color,Glossy Paper,2022-10-08,2022-10-06,0,7,8,11,13,
Brochures,971,BW,Cardboard,2017-12-28,2017-12-27,171,4,5,10,12,High
Brochures,,Full Color,Cardboard,2025-09-24,2025-09-19,128,5,7,9,10,Low
Stickers,,Full Color,,2025-04-16,2025-04-11,22,3,4,9,10,
Flyers,966,Full Color,Glossy Paper,2015-09-25,2015-09-18,7,5,7,10,12,Low
Banners,297,BW,Glossy Paper,2020-01-16,2020-01-15,36,6,8,9,10,
Posters,,,,2017-03-19,2017-03-15,50,4,6,10,12,Medium
Banners,172,Full Color,Canvas,2021-02-28,2021-02-26,84,4,5,11,12,Low
,604,BW,Vinyl,2021-09-21,2021-09-15,2,5,7,9,11,Medium
Banners,,Full Color,Vinyl,2015-10-08,2015-10-02,111,5,7,10,12,Low
,,Full Color,Canvas,2023-07-15,2023-07-09,72,5,6,12,14,Medium
Flyers,,BW,Cardboard,2019-09-21,2019-09-20,129,4,6,9,11,High
Brochures,,Full Color,Cardboard,2015-04-06,2015-04-03,173,4,6,9,11,Medium
Brochures,,BW,Vinyl,2024-09-08,2024-09-06,169,7,9,8,10,Low
Flyers,,BW,Matte Paper,2023-09-17,2023-09-14,93,6,8,9,10,High
Brochures,647,BW,Canvas,2016-01-01,2015-12-31,4,5,7,9,11,Medium
Posters,,BW,Matte Paper,2019-02-21,2019-02-16,112,6,8,8,9,Low
,584,,Canvas,2020-07-29,2020-07-22,3,5,6,8,10,Medium
Banners,,Full Color,Glossy Paper,2023-06-28,2023-06-23,189,5,6,10,12,Medium
,623,Full Color,Glossy Paper,2017-12-25,2017-12-21,148,4,5,9,10,Medium
Brochures,573,BW,Cardboard,2018-07-23,2018-07-20,125,5,7,8,9,Low
Stickers,787,Full Color,Glossy Paper,2017-11-14,2017-11-09,16,5,7,11,12,Medium
Business Cards,,Full Color,Canvas,2024-07-27,2024-07-24,74,3,5,10,12,Medium
Brochures,498,Full Color,Vinyl,2017-07-01,2017-06-29,66,5,6,9,11,High
Banners,169,BW,Cardboard,2021-10-18,2021-10-15,50,6,7,11,12,Low
Brochures,,BW,Canvas,2026-01-03,2025-12-29,53,5,7,9,10,Medium
Banners,,Full Color,Canvas,2021-02-21,2021-02-18,118,5,6,9,11,Low
Flyers,,BW,Canvas,2018-12-10,2018-12-09,29,6,7,11,13,Medium
Business Cards,436,Full Color,Cardboard,2018-02-16,2018-02-15,107,3,5,9,11,High
Brochures,,Full Color,Cardboard,2015-07-30,2015-07-28,111,5,6,11,12,Medium
Stickers,,BW,Matte Paper,2016-10-12,2016-10-10,88,6,7,11,13,Medium
Posters,81,BW,Vinyl,2020-12-13,2020-12-07,16,5,6,9,11,Medium
Banners,,BW,Glossy Paper,2016-06-11,2016-06-08,31,4,5,8,10,Medium
Stickers,546,Full Color,Glossy Paper,2025-12-27,2025-12-22,24,3,5,8,9,Low
Business Cards,538,Full Color,Canvas,2017-02-12,2017-02-07,129,6,8,8,10,Medium
,220,Full Color,Glossy Paper,2022-01-04,2022-01-03,,5,6,11,12,Medium
Business Cards,283,Full Color,Cardboard,2017-02-17,2017-02-10,48,6,7,10,11,High
Brochures,,Full Color,Vinyl,2026-01-17,2026-01-13,13,5,6,8,10,Medium
Posters,,BW,Glossy Paper,2016-06-09,2016-06-05,149,5,6,10,12,Low
Flyers,895,Full Color,Glossy Paper,2018-11-05,2018-11-01,180,6,8,9,11,Medium
Stickers,,Full Color,Matte Paper,2020-12-27,2020-12-21,154,5,7,9,10,Low
Flyers,,Full Color,Cardboard,2015-09-08,2015-09-05,179,4,5,9,11,Low
Brochures,608,Full Color,Canvas,2018-09-07,2018-09-03,81,5,6,11,12,Medium
Posters,,Full Color,Matte Paper,2023-11-26,2023-11-22,33,6,7,8,9,Medium
Stickers,,Full Color,Matte Paper,2016-11-19,2016-11-16,121,4,5,10,12,Medium
Brochures,,Full Color,Glossy Paper,2016-08-09,2016-08-08,27,4,6,8,10,
Brochures,,Full Color,Cardboard,2015-05-30,2015-05-23,80,3,4,10,11,Medium
Brochures,,BW,Canvas,2022-10-29,2022-10-22,95,6,7,9,11,Low
,,BW,Matte Paper,2025-02-18,2025-02-12,147,3,5,8,9,Medium
Brochures,,Full Color,Matte Paper,2016-10-10,2016-10-04,27,5,6,10,12,Medium
Stickers,,,Matte Paper,2021-12-24,2021-12-23,157,5,7,10,12,
Flyers,519,Full Color,Matte Paper,2016-01-11,2016-01-05,195,5,7,9,11,
Banners,,Full Color,Matte Paper,2024-06-18,2024-06-15,118,5,6,11,13,Medium
Business Cards,,Full Color,Glossy Paper,2017-03-03,2017-02-25,32,3,5,9,11,Medium
,647,BW,Matte Paper,2019-01-26,2019-01-23,104,5,6,10,12,Medium
Flyers,722,BW,Canvas,2018-09-16,2018-09-10,151,6,7,10,12,Low
Posters,,Full Color,Canvas,2021-12-13,2021-12-11,193,6,8,11,13,Low
Banners,,Full Color,Cardboard,2021-09-11,2021-09-10,23,4,6,10,11,High
Flyers,,Full Color,Cardboard,2017-08-07,2017-08-04,57,6,8,9,11,Medium
Posters,92,Full Color,Matte Paper,2019-07-09,2019-07-06,77,5,6,11,12,Medium
Posters,,BW,Glossy Paper,2016-06-25,2016-06-19,6,6,7,11,12,High
Banners,,Full Color,,2022-12-11,2022-12-08,154,5,6,12,13,Medium
Flyers,562,BW,Canvas,2021-01-30,2021-01-24,154,5,6,8,10,Medium
Banners,232,Full Color,Vinyl,2016-09-18,2016-09-12,62,6,7,10,12,Low
Flyers,,BW,Vinyl,2019-09-26,2019-09-22,7,6,8,10,11,Low
Flyers,,,,2021-08-01,2021-07-30,43,5,7,10,12,
Stickers,,BW,Canvas,2016-07-02,2016-06-28,14,4,6,12,13,High
Business Cards,,Full Color,Cardboard,2017-04-08,2017-04-03,169,4,5,10,12,Medium
Brochures,131,Full Color,,2025-04-27,2025-04-23,55,4,5,10,11,
Banners,144,Full Color,Glossy Paper,2016-10-23,2016-10-20,82,4,5,9,11,Low
Posters,186,Full Color,Cardboard,2022-10-01,2022-09-28,43,4,5,9,10,Low
Stickers,,Full Color,Glossy Paper,2025-01-04,2025-01-01,43,6,7,9,10,Low
Brochures,,Full Color,Glossy Paper,2017-01-04,2016-12-31,187,3,5,8,9,Medium
Business Cards,663,Full Color,Canvas,2016-02-14,2016-02-13,146,5,6,9,11,Low
Brochures,712,BW,Vinyl,2024-02-15,2024-02-13,133,4,6,9,10,
Flyers,801,BW,Matte Paper,2015-03-28,2015-03-25,,4,5,10,11,Medium
Business Cards,451,Full Color,,2025-03-27,2025-03-23,,3,5,10,12,Low
Stickers,,Full Color,Cardboard,2020-05-18,2020-05-15,40,4,5,11,13,Medium
Business Cards,,Full Color,,2018-12-21,2018-12-18,58,6,7,10,12,High
Brochures,493,Full Color,Vinyl,2017-03-04,2017-02-26,50,6,8,10,11,Medium
Stickers,874,Full Color,Vinyl,2017-05-16,2017-05-13,18,4,5,9,10,High
,596,,Vinyl,2016-11-01,2016-10-28,140,5,6,11,13,Medium
Posters,66,,Canvas,2024-01-26,2024-01-21,49,5,6,8,10,High
Brochures,,Full Color,Canvas,2020-08-24,2020-08-22,24,6,8,12,14,Low
Banners,,BW,,2020-09-19,2020-09-13,41,6,8,10,11,Low
Flyers,,Full Color,Canvas,2018-05-29,2018-05-22,137,5,6,9,11,Medium
Stickers,,,,2021-09-22,2021-09-18,76,5,7,9,10,Medium
